# feature,genomic_accession,start,end,strand,product_accession,name,symbol,locus_tag,feature_interval_length,product_length
CDS,CT971583.1,174,1343,+,CAK22427.1,DNA polymerase III beta subunit,dnaN,SynWH7803_0001,1170,389
CDS,CT971583.1,1347,2096,+,CAK22428.1,RNA metabolism-related protein,,SynWH7803_0002,750,249
CDS,CT971583.1,2187,4484,+,CAK22429.1,"Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain",purL,SynWH7803_0003,2298,765
CDS,CT971583.1,4523,5989,+,CAK22430.1,Glutamine phosphoribosyl pyrophosphate amidotransferase,purF,SynWH7803_0004,1467,488
CDS,CT971583.1,5992,8457,-,CAK22431.1,"DNA gyrase/topoisomerase IV, subunit A",gyrA,SynWH7803_0005,2466,821
CDS,CT971583.1,8547,9443,-,CAK22432.1,Secreted Tetratricopeptide protein,,SynWH7803_0006,897,298
CDS,CT971583.1,9459,10421,-,CAK22433.1,Uncharacterized Fe-S protein,,SynWH7803_0007,963,320
CDS,CT971583.1,10463,11122,+,CAK22434.1,Uncharacterized conserved membrane protein,,SynWH7803_0008,660,219
CDS,CT971583.1,11139,11909,+,CAK22435.1,Uncharacterized conserved membrane protein,,SynWH7803_0009,771,256
CDS,CT971583.1,11928,12560,+,CAK22436.1,"Transcription termination factor, NusB",nusB,SynWH7803_0010,633,210
CDS,CT971583.1,12566,14032,+,CAK22437.1,"Signal recognition particle GTPase, FtsY",ftsY,SynWH7803_0011,1467,488
CDS,CT971583.1,14107,15519,+,CAK22438.1,"Serine phosphatase RsbU, regulator of sigma subunit",rsbU,SynWH7803_0012,1413,470
CDS,CT971583.1,15551,16963,+,CAK22439.1,Argininosuccinate lyase,argH,SynWH7803_0013,1413,470
CDS,CT971583.1,17083,17706,+,CAK22440.1,"RNA-binding protein, RRM domain",,SynWH7803_0014,624,207
CDS,CT971583.1,17725,18729,-,CAK22441.1,tRNA-dihydrouridine synthase A,dusA,SynWH7803_0015,1005,334
CDS,CT971583.1,18790,19308,+,CAK22442.1,Peptide methionine sulfoxide reductase,msrB,SynWH7803_0016,519,172
CDS,CT971583.1,19343,20539,+,CAK22443.1,Predicted flavoprotein,,SynWH7803_0017,1197,398
CDS,CT971583.1,20602,23637,-,CAK22444.1,Conserved hypothetical protein,,SynWH7803_0018,3036,1011
CDS,CT971583.1,24364,25599,-,CAK22445.1,"Type II secretory pathway, component PulF","pilC,pulF",SynWH7803_0019,1236,411
CDS,CT971583.1,25800,26873,-,CAK22446.1,"Tfp pilus assembly protein, pilus retraction ATPase PilT",pilT,SynWH7803_0020,1074,357
CDS,CT971583.1,26884,28569,-,CAK22447.1,"Type II secretory pathway, ATPase PulE/Tfp pilus assembly pathway, ATPase PilB","pilB, gspE",SynWH7803_0021,1686,561
CDS,CT971583.1,28665,29387,+,CAK22448.1,"Molecular chaperone GrpE, heat shock protein",grpE,SynWH7803_0022,723,240
CDS,CT971583.1,29438,30568,+,CAK22449.1,DnaJ-class molecular chaperone,,SynWH7803_0023,1131,376
CDS,CT971583.1,30571,30813,+,CAK22450.1,Conserved hypothetical protein with conserved cysteine containing domain 1 Ccd1,,SynWH7803_0024,243,80
CDS,CT971583.1,30806,31714,+,CAK22451.1,Probable GTPase engC,engC,SynWH7803_0025,909,302
CDS,CT971583.1,31689,32030,-,CAK22452.1,Conserved hypothetical protein,,SynWH7803_0026,342,113
CDS,CT971583.1,32055,32987,-,CAK22453.1,UDP-N-acetylmuramate dehydrogenase,murB,SynWH7803_0027,933,310
CDS,CT971583.1,32963,34423,-,CAK22454.1,UDP-N-acetylmuramate-alanine ligase,murC,SynWH7803_0028,1461,486
CDS,CT971583.1,34586,35611,+,CAK22455.1,Glyceraldehyde-3-phosphate dehydrogenase,gap1,SynWH7803_0029,1026,341
CDS,CT971583.1,35675,36661,-,CAK22456.1,Thiamine monophosphate kinase,thiL,SynWH7803_0030,987,328
CDS,CT971583.1,36668,37786,-,CAK22457.1,Peptidyl-prolyl cis-trans isomerase,,SynWH7803_0031,1119,372
CDS,CT971583.1,37819,38382,+,CAK22458.1,Translation elongation factor P,efp,SynWH7803_0032,564,187
CDS,CT971583.1,38385,38864,+,CAK22459.1,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,accB,SynWH7803_0033,480,159
CDS,CT971583.1,38851,39879,-,CAK22460.1,4-hydroxythreonine-4-phosphate dehydrogenase,pdxA,SynWH7803_0034,1029,342
CDS,CT971583.1,39878,40069,+,CAK22461.1,Conserved hypothetical protein,,SynWH7803_0035,192,63
CDS,CT971583.1,40035,40961,-,CAK22462.1,Nucleoside-diphosphate-sugar epimerase,wcaG,SynWH7803_0036,927,308
CDS,CT971583.1,41034,41228,+,CAK22463.1,Conserved hypothetical protein with transmembrane domains,,SynWH7803_0037,195,64
CDS,CT971583.1,41229,41663,-,CAK22464.1,McrA/HNH family nuclease,,SynWH7803_0038,435,144
CDS,CT971583.1,41916,43424,+,CAK22465.1,"Superfamily II DNA/RNA helicases, SNF2 family",hepA,SynWH7803_0039,1509,502
CDS,CT971583.1,43379,43771,-,CAK22466.1,Hypothetical protein,,SynWH7803_0040,393,130
CDS,CT971583.1,43771,44175,-,CAK22467.1,Conserved hypothetical protein a with signal peptide,,SynWH7803_0041,405,134
CDS,CT971583.1,44239,44757,-,CAK22468.1,Uncharacterized AbrB family conserved membrane protein,,SynWH7803_0042,519,172
CDS,CT971583.1,44887,45156,+,CAK22469.1,Conserved hypothetical protein,,SynWH7803_0043,270,89
CDS,CT971583.1,45279,45440,+,CAK22470.1,Conserved hypothetical protein,,SynWH7803_0044,162,53
CDS,CT971583.1,45605,45781,+,CAK22471.1,Conserved hypothetical protein,,SynWH7803_0045,177,58
